Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1946470,2016-05-06,2015-03-30,13009259,2601851800,13009259,200,1600,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946470,SRX973153,9921,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887641,SAMN03327314,simple,3702,Arabidopsis thaliana,9921,,,,,,,no,,,,,MPI-DB,SRA249184,,public,8252104767E6F88D3766395044FFF222,596D0252D864D47577F6D8A7F068CA81
SRR1946471,2016-05-06,2015-03-30,14441200,2888240000,14441200,200,1700,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946471,SRX973154,9924,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887638,SAMN03327315,simple,3702,Arabidopsis thaliana,9924,,,,,,,no,,,,,MPI-DB,SRA249184,,public,7FC1912DE77AA3517EB3329E2C0FE8C9,6BEE517767CDADE4B2687EF8EA58A053
SRR1946472,2016-05-06,2015-03-30,14029835,2805967000,14029835,200,1709,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946472,SRX973155,9925,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887639,SAMN03327316,simple,3702,Arabidopsis thaliana,9925,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B92BFFD0281A9A4238AE444199ED622F,3099E6D715B94681A04F60132384ED3C
SRR1946473,2016-05-06,2015-03-30,14843069,2968613800,14843069,200,1847,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946473,SRX973156,9926,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887640,SAMN03327317,simple,3702,Arabidopsis thaliana,9926,,,,,,,no,,,,,MPI-DB,SRA249184,,public,0ACFB23584DF16837D6A6E59B0D4EC46,AE7ADF5D8C6AA55E13B3A6425FC33308
SRR1946474,2016-05-06,2015-03-30,14893935,2978787000,14893935,200,1840,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946474,SRX973157,9927,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887637,SAMN03327318,simple,3702,Arabidopsis thaliana,9927,,,,,,,no,,,,,MPI-DB,SRA249184,,public,0DBB9ABDDEFEA214A233A111E6C5BCC6,1C40A46503CC6F89C1EF984FA8C9344F
SRR1946475,2016-05-06,2015-03-30,16465839,3293167800,16465839,200,2014,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946475,SRX973158,9928,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887636,SAMN03327319,simple,3702,Arabidopsis thaliana,9928,,,,,,,no,,,,,MPI-DB,SRA249184,,public,BFFE41C9259FF681444128CD10D19B61,8409FAC9736F84D6462E0EC6DAB5D37B
SRR1946476,2016-05-06,2015-03-30,14095424,2819084800,14095424,200,1661,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946476,SRX973159,9929,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887633,SAMN03327320,simple,3702,Arabidopsis thaliana,9929,,,,,,,no,,,,,MPI-DB,SRA249184,,public,DAB932FD0419256EED6149177ACC41BF,C4DB6073F3C02D46F84B2A32E533AE4D
SRR1946477,2016-05-06,2015-03-30,11772000,2354400000,11772000,200,1380,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946477,SRX973160,9930,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887634,SAMN03327321,simple,3702,Arabidopsis thaliana,9930,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B0F1842A1AD208FE70F4557FDF488C14,5BEB1DC55761E28D7576CB04F0FF3001
SRR1946478,2016-05-06,2015-03-30,9212857,1842571400,9212857,200,1090,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946478,SRX973161,9932,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887635,SAMN03327322,simple,3702,Arabidopsis thaliana,9932,,,,,,,no,,,,,MPI-DB,SRA249184,,public,0760CDDA45C50F0311A3D86912C72F2E,FE4F823CEB439C2C62F7E6BD1844ACBB
SRR1946479,2016-05-06,2015-03-30,18961214,3792242800,18961214,200,2331,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946479,SRX973162,9933,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887632,SAMN03327323,simple,3702,Arabidopsis thaliana,9933,,,,,,,no,,,,,MPI-DB,SRA249184,,public,E864526AC1BC3049D3D29E2B773C9D49,FB4203FB26A9144790FE110A8EE8DE15
