id,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number
1606,Brn-1,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1607,Brn-2,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1608,Brn-3,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1609,Brn-4,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1610,Brn-6,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1611,Brn-9,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1612,Brn-10,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,CS78962
1613,Brn-11,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1614,Brn-12,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1615,Brn-16,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1616,Brn-17,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1617,Brn-19,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1618,Brn-20,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1619,Brn-21,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1620,Brn-22,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1621,Brn-23,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1622,Brn-24,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,CS78963
1623,Brn-27,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1624,Brn-28,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1625,Brn-29,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1626,Brn-32,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1627,Brn-35,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1628,Brn-36,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1629,Brn-37,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1630,Brn-38,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,
1631,DuckLkSP1,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1632,DuckLkSP2,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1633,DuckLkSP3,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1634,DuckLkSP6,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1635,DuckLkSP7,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1636,DuckLkSP9,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1637,DuckLkSP12,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1638,DuckLkSP14,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1639,DuckLkSP15,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1640,DuckLkSP18,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1641,DuckLkSP19,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1642,DuckLkSP22,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1643,DuckLkSP23,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1644,DuckLkSP24,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1645,DuckLkSP25,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1646,DuckLkSP27,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1647,DuckLkSP28,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1648,DuckLkSP30,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1649,DuckLkSP32,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1650,DuckLkSP37,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1651,DuckLkSP38,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,CS78964
1652,DuckLkSP40,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,CS78965
1653,DuckLkSP41,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1654,DuckLkSP42,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1655,DuckLkSP43,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1656,DuckLkSP46,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1657,DuckLkSP48,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1658,DuckLkSP49,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1659,DuckLkSP51,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1660,DuckLkSP52,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1661,DuckLkSP53,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1662,DuckLkSP54,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1663,DuckLkSP55,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1664,DuckLkSP56,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1665,DuckLkSP57,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1666,DuckLkSP59,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1667,DuckLkSP60,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1668,DuckLkSP61,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1669,DuckLkSP63,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1670,DuckLkSP64,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1671,DuckLkSP67,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1672,DuckLkSP69,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1673,DuckLkSP71,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1674,DuckLkSP73,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,
1675,Haz-1,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1676,Haz-2,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,CS78966
1677,Haz-3,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1678,Haz-4,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1679,Haz-5,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1680,Haz-6,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1681,Haz-7,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1682,Haz-8,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1683,Haz-9,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1684,Haz-10,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,CS78967
1685,Haz-12,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1686,Haz-13,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1687,Haz-14,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1688,Haz-15,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1689,Haz-16,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1690,Haz-17,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1691,Haz-18,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1692,Haz-19,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
1693,Haz-20,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,
